Major,Grade,Result,MajorGroup
cntt,5.21,Pass,IT
cntt,4.54,Fail,IT
cntt,7.73,Pass,IT
cntt,6.06,Pass,IT
cntt,9.13,Pass,IT
cntt,7.98,Pass,IT
cntt,5.15,Pass,IT
cntt,7.31,Pass,IT
cntt,5.0,Pass,IT
cntt,9.38,Pass,IT
cntt,7.73,Pass,IT
cntt,9.13,Pass,IT
cntt,7.4,Pass,IT
cntt,7.06,Pass,IT
cntt,5.15,Pass,IT
cntt,4.73,Fail,IT
cntt,5.29,Pass,IT
cntt,4.33,Fail,IT
cntt,4.75,Fail,IT
cntt,5.65,Pass,IT
cntt,6.5,Pass,IT
cntt,5.25,Pass,IT
cntt,5.54,Pass,IT
cntt,4.52,Fail,IT
cntt,5.75,Pass,IT
cntt,3.56,Fail,IT
cntt,9.06,Pass,IT
cntt,2.54,Fail,IT
cntt,6.27,Pass,IT
cntt,5.98,Pass,IT
cntt,7.35,Pass,IT
cntt,7.25,Pass,IT
cntt,7.9,Pass,IT
cntt,7.25,Pass,IT
cntt,5.71,Pass,IT
cntt,4.9,Fail,IT
cntt,6.85,Pass,IT
cntt,4.6,Fail,IT
cntt,7.52,Pass,IT
cntt,4.23,Fail,IT
cntt,8.5,Pass,IT
cntt,6.9,Pass,IT
cntt,8.63,Pass,IT
cntt,5.31,Pass,IT
cntt,5.54,Pass,IT
cntt,5.65,Pass,IT
cntt,7.06,Pass,IT
cntt,7.4,Pass,IT
cntt,5.63,Pass,IT
cntt,5.0,Pass,IT
cntt,5.23,Pass,IT
cntt,5.54,Pass,IT
cntt,9.15,Pass,IT
cntt,7.29,Pass,IT
cntt,6.06,Pass,IT
cntt,4.85,Fail,IT
cntt,5.96,Pass,IT
cntt,5.96,Pass,IT
cntt,7.9,Pass,IT
cntt,5.79,Pass,IT
cntt,6.38,Pass,IT
cntt,6.9,Pass,IT
cntt,8.06,Pass,IT
cntt,8.38,Pass,IT
cntt,8.31,Pass,IT
cntt,4.96,Fail,IT
cntt,8.31,Pass,IT
cntt,9.75,Pass,IT
cntt,7.33,Pass,IT
cntt,7.15,Pass,IT
cntt,7.71,Pass,IT
cntt,6.04,Pass,IT
cntt,5.79,Pass,IT
cntt,8.38,Pass,IT
cntt,7.08,Pass,IT
cntt,6.23,Pass,IT
cntt,6.54,Pass,IT
cntt,4.06,Fail,IT
cntt,7.4,Pass,IT
cntt,3.9,Fail,IT
cntt,7.33,Pass,IT
cntt,7.33,Pass,IT
cntt,6.1,Pass,IT
cntt,4.38,Fail,IT
cntt,3.65,Fail,IT
cntt,5.88,Pass,IT
cntt,4.06,Fail,IT
cntt,9.0,Pass,IT
cntt,5.35,Pass,IT
cntt,7.56,Pass,IT
cntt,6.46,Pass,IT
cntt,2.81,Fail,IT
cntt,4.71,Fail,IT
cntt,6.58,Pass,IT
cntt,8.5,Pass,IT
cntt,7.25,Pass,IT
cntt,7.23,Pass,IT
cntt,7.06,Pass,IT
cntt,4.25,Fail,IT
cntt,7.0,Pass,IT
cntt,4.48,Fail,IT
cntt,7.0,Pass,IT
cntt,7.9,Pass,IT
cntt,8.38,Pass,IT
cntt,8.56,Pass,IT
cntt,5.5,Pass,IT
cntt,9.06,Pass,IT
cntt,9.13,Pass,IT
cntt,7.71,Pass,IT
cntt,9.58,Pass,IT
cntt,6.35,Pass,IT
cntt,8.75,Pass,IT
cntt,6.46,Pass,IT
cnot,3.65,Fail,Non-IT
cntt,5.54,Pass,IT
cntt,8.31,Pass,IT
cntt,6.98,Pass,IT
cntt,8.13,Pass,IT
cntt,7.98,Pass,IT
cntt,7.65,Pass,IT
cntt,4.31,Fail,IT
cntt,7.1,Pass,IT
cntt,5.9,Pass,IT
cntt,8.75,Pass,IT
cntt,5.48,Pass,IT
cntt,6.9,Pass,IT
cntt,6.81,Pass,IT
cntt,9.5,Pass,IT
cntt,8.06,Pass,IT
cntt,7.56,Pass,IT
kte,6.81,Pass,Non-IT
cntt,8.71,Pass,IT
cntt,6.83,Pass,IT
cntt,8.0,Pass,IT
cntt,7.46,Pass,IT
cntt,6.04,Pass,IT
cntt,6.56,Pass,IT
cntt,8.56,Pass,IT
cntt,6.81,Pass,IT
cntt,7.88,Pass,IT
cntt,4.1,Fail,IT
cntt,5.04,Pass,IT
cntt,8.33,Pass,IT
cntt,7.4,Pass,IT
cntt,7.38,Pass,IT
cntt,9.56,Pass,IT
cntt,8.52,Pass,IT
cntt,7.5,Pass,IT
cntt,5.75,Pass,IT
cntt,4.54,Fail,IT
cntt,7.15,Pass,IT
cntt,5.33,Pass,IT
cntt,8.25,Pass,IT
cntt,8.81,Pass,IT
cntt,7.63,Pass,IT
cntt,5.81,Pass,IT
cntt,6.58,Pass,IT
cntt,6.25,Pass,IT
cntt,3.81,Fail,IT
cntt,6.65,Pass,IT
cntt,6.81,Pass,IT
cntt,6.65,Pass,IT
cntt,3.88,Fail,IT
cntt,7.4,Pass,IT
cntt,7.4,Pass,IT
cntt,8.81,Pass,IT
cntt,4.48,Fail,IT
cntt,3.71,Fail,IT
cntt,6.23,Pass,IT
cntt,7.33,Pass,IT
cntt,7.15,Pass,IT
cntt,8.65,Pass,IT
cntt,6.1,Pass,IT
cntt,9.5,Pass,IT
cntt,7.35,Pass,IT
cntt,9.0,Pass,IT
cntt,7.71,Pass,IT
cntt,6.08,Pass,IT
cntt,8.06,Pass,IT
ckts,7.88,Pass,Non-IT
cntt,8.13,Pass,IT
ckts,6.75,Pass,Non-IT
ckts,5.83,Pass,Non-IT
ckts,7.77,Pass,Non-IT
ckts,7.58,Pass,Non-IT
ckts,6.6,Pass,Non-IT
cntt,7.44,Pass,IT
cntt,7.35,Pass,IT
ckts,8.0,Pass,Non-IT
cntt,8.71,Pass,IT
ckts,5.96,Pass,Non-IT
cntt,8.06,Pass,IT
ckts,8.4,Pass,Non-IT
ckts,7.83,Pass,Non-IT
ckts,6.27,Pass,Non-IT
cntt,6.58,Pass,IT
cntt,7.06,Pass,IT
ckts,9.25,Pass,Non-IT
cntt,6.9,Pass,IT
ckts,7.15,Pass,Non-IT
cntt,9.0,Pass,IT
cntt,5.79,Pass,IT
cntt,5.0,Pass,IT
cnxd,6.52,Pass,Non-IT
cnxd,4.75,Fail,Non-IT
cnxd,5.88,Pass,Non-IT
cnxd,5.42,Pass,Non-IT
cnxd,6.27,Pass,Non-IT
cnxd,6.21,Pass,Non-IT
cnxd,7.81,Pass,Non-IT
cnxd,6.88,Pass,Non-IT
cnxd,4.96,Fail,Non-IT
cnxd,6.46,Pass,Non-IT
cnxd,4.02,Fail,Non-IT
cnxd,3.83,Fail,Non-IT
cnxd,4.9,Fail,Non-IT
cnxd,7.21,Pass,Non-IT
cnxd,6.71,Pass,Non-IT
cnxd,8.88,Pass,Non-IT
cnxd,7.08,Pass,Non-IT
cnxd,6.79,Pass,Non-IT
cnxd,5.94,Pass,Non-IT
cnxd,7.0,Pass,Non-IT
cnxd,5.21,Pass,Non-IT
cnxd,5.73,Pass,Non-IT
cnxd,3.02,Fail,Non-IT
cnxd,5.73,Pass,Non-IT
cnxd,5.46,Pass,Non-IT
cnxd,4.21,Fail,Non-IT
cnxd,8.29,Pass,Non-IT
cnxd,5.67,Pass,Non-IT
cnxd,5.02,Pass,Non-IT
cnxd,5.21,Pass,Non-IT
cnxd,4.1,Fail,Non-IT
cnxd,2.6,Fail,Non-IT
cnxd,5.6,Pass,Non-IT
cnxd,4.21,Fail,Non-IT
cnxd,3.31,Fail,Non-IT
cnxd,4.73,Fail,Non-IT
cnxd,3.35,Fail,Non-IT
cnxd,5.19,Pass,Non-IT
cnxd,7.73,Pass,Non-IT
cnxd,6.33,Pass,Non-IT
cnxd,7.63,Pass,Non-IT
cnxd,6.1,Pass,Non-IT
cnxd,4.58,Fail,Non-IT
cnxd,5.69,Pass,Non-IT
cnxd,5.5,Pass,Non-IT
cnxd,6.52,Pass,Non-IT
cnxd,4.58,Fail,Non-IT
cnxd,3.46,Fail,Non-IT
cnxd,5.71,Pass,Non-IT
cnxd,8.75,Pass,Non-IT
cnxd,5.54,Pass,Non-IT
cnxd,6.77,Pass,Non-IT
cnxd,7.52,Pass,Non-IT
cnxd,6.17,Pass,Non-IT
cnxd,5.96,Pass,Non-IT
cnxd,4.96,Fail,Non-IT
cnxd,3.67,Fail,Non-IT
cnxd,4.58,Fail,Non-IT
cnxd,7.81,Pass,Non-IT
cnxd,5.25,Pass,Non-IT
cnxd,4.54,Fail,Non-IT
cnxd,4.21,Fail,Non-IT
cnxd,6.69,Pass,Non-IT
cnxd,5.17,Pass,Non-IT
cnxd,3.65,Fail,Non-IT
cnxd,5.9,Pass,Non-IT
cnxd,4.67,Fail,Non-IT
cnxd,5.0,Pass,Non-IT
cnxd,6.1,Pass,Non-IT
khhh,7.75,Pass,Non-IT
khhh,5.65,Pass,Non-IT
khhh,7.06,Pass,Non-IT
khhh,7.75,Pass,Non-IT
ctm,5.04,Pass,Non-IT
ctm,8.06,Pass,Non-IT
khhh,2.71,Fail,Non-IT
khhh,6.06,Pass,Non-IT
ctm,3.54,Fail,Non-IT
khhh,9.5,Pass,Non-IT
ctm,5.0,Pass,Non-IT
ctm,4.1,Fail,Non-IT
khhh,7.75,Pass,Non-IT
ctm,7.25,Pass,Non-IT
khhh,7.0,Pass,Non-IT
khhh,8.08,Pass,Non-IT
ctm,7.81,Pass,Non-IT
khhh,8.15,Pass,Non-IT
khhh,8.0,Pass,Non-IT
ctm,3.4,Fail,Non-IT
ctm,4.9,Fail,Non-IT
khhh,8.25,Pass,Non-IT
khhh,7.58,Pass,Non-IT
ctm,4.25,Fail,Non-IT
khhh,5.27,Pass,Non-IT
khhh,6.25,Pass,Non-IT
khhh,8.08,Pass,Non-IT
ctm,5.0,Pass,Non-IT
ctm,5.23,Pass,Non-IT
khhh,10.0,Pass,Non-IT
khhh,4.73,Fail,Non-IT
ctm,7.31,Pass,Non-IT
khhh,8.33,Pass,Non-IT
khhh,4.73,Fail,Non-IT
ctm,4.15,Fail,Non-IT
khhh,8.0,Pass,Non-IT
khhh,7.63,Pass,Non-IT
ctm,4.25,Fail,Non-IT
khhh,6.56,Pass,Non-IT
ctm,5.17,Pass,Non-IT
ctm,5.4,Pass,Non-IT
khhh,4.67,Fail,Non-IT
khhh,6.46,Pass,Non-IT
ctm,3.65,Fail,Non-IT
khhh,8.88,Pass,Non-IT
khhh,5.33,Pass,Non-IT
ctm,4.5,Fail,Non-IT
khhh,8.25,Pass,Non-IT
ctm,4.23,Fail,Non-IT
khhh,4.08,Fail,Non-IT
khhh,6.31,Pass,Non-IT
ctm,3.4,Fail,Non-IT
khhh,6.67,Pass,Non-IT
ctm,6.65,Pass,Non-IT
khhh,7.06,Pass,Non-IT
khhh,4.79,Fail,Non-IT
khhh,5.65,Pass,Non-IT
khhh,6.4,Pass,Non-IT
khhh,6.83,Pass,Non-IT
ctm,3.98,Fail,Non-IT
khhh,5.46,Pass,Non-IT
ctm,3.21,Fail,Non-IT
khhh,5.0,Pass,Non-IT
khhh,8.31,Pass,Non-IT
khhh,6.48,Pass,Non-IT
ctm,3.21,Fail,Non-IT
khhh,6.9,Pass,Non-IT
khhh,4.81,Fail,Non-IT
khhh,6.06,Pass,Non-IT
ctm,5.15,Pass,Non-IT
khhh,7.58,Pass,Non-IT
ctm,7.9,Pass,Non-IT
khhh,4.9,Fail,Non-IT
khhh,5.5,Pass,Non-IT
khhh,6.65,Pass,Non-IT
ctm,5.0,Pass,Non-IT
ctm,4.15,Fail,Non-IT
ctm,8.88,Pass,Non-IT
khhh,5.65,Pass,Non-IT
ddt,3.6,Fail,Non-IT
ddt,5.38,Pass,Non-IT
ddt,5.27,Pass,Non-IT
ddt,3.88,Fail,Non-IT
ddt,5.13,Pass,Non-IT
ddt,5.13,Pass,Non-IT
ddt,3.67,Fail,Non-IT
ddt,3.52,Fail,Non-IT
ddt,5.13,Pass,Non-IT
ddt,2.67,Fail,Non-IT
ddt,5.54,Pass,Non-IT
ddt,4.46,Fail,Non-IT
ddt,4.4,Fail,Non-IT
ddt,4.73,Fail,Non-IT
